subject,relation,object
Yehuda Elkana,doctoral advisor,Stephen Toulmin
Space Jam,set in period,1973
The Unforgivable,instance of,film
Henri Treial,country for sport,Estonia
Philip Mandie,position held,judge
Maulana Ameer Zaman,place of birth,Loralai
Han no Hanzai,author,Naoya Shiga
Jolyon Wagg,present in work,The Calculus Affair
Levantine Arabic,indigenous to,Syria
Betty Pfefferbaum,occupation,psychiatrist
Sam Dolnick,occupation,editor
Passing,screenwriter,Rebecca Hall
2021 Canadian federal election,candidate,Bloc Québécois
partition function,subclass of,dimensionless quantity
Gangan Comics,intended public,shōnen
William Blake,work location,Felpham
Une Aina Bastholm,electoral district,Akershus
Norm Macdonald,employer,Saturday Night Live
Melbourne International Games Week,country,Australia
Mickey Maguire,present in work,Shameless
Lyrick Studios,distribution format,direct-to-video
Sĩ Phú,occupation,singer
God of War Ragnarök,voice actor,Usman Ally
The Tasmanian News,country of origin,Australia
Krkojevci,instance of,village
Feng Yufang,occupation,engineer
A724 road,located in the administrative territorial entity,South Lanarkshire
1983 Anchorage runway collision,has cause,fog
Elton John,award received,Academy Awards
Arthur Upham Pope,spouse,Phyllis Ackerman
Jerry Grcevich,occupation,musician
Vadiello,located in the administrative territorial entity,Huesca Province
Peter Williams,family name,Beresford
Hawkeye,inferred from,Disney+
Federigo Zuccari,kinship to subject,nephew
Minamiukibaru Island,part of,Yokatsu Islands
Carlisle Floyd,place of death,Tallahassee
Queen Cheol-in,writing system,Hanja
Passing,cast member,Tessa Thompson
Mitare,country,Venezuela
Philippe Charles Tronson du Coudray,military rank,Chef de brigade
Radanovci,instance of,village
Honor,owned by,Huawei
Asmaa Rhlalou,position held,mayor
Berço SC,country,Portugal
Louise Hegermann-Lindencrone,father,Johan Frederik Lindencrone
Social orphan,subclass of,child
Fares Sayegh,employer,G. Papanikolaou General Hospital
Django Reinhardt,language of work or name,French
Mitare,located in the administrative territorial entity,Falcón
Mindgame,media franchise,Doctor Who
Derbi,product or material produced,scooter
Claude Montmarquette,place of death,Montreal
Sparco,product or material produced,Racing suit
Sun Fengchun,occupation,engineer
Jean-Paul Belmondo,place of marriage,Paris
Alexander Rumpf,place of birth,Karlsruhe
convenience store,subclass of,shop
Avni Kurgan,native language,Turkish
Warren H. Wilson,educated at,Columbia University
Arthur Kitson,spouse,Linda Elizabeth Douglas
Wings,place of publication,South Korea
Regitze Barner,occupation,philanthropist
Nordic Council of the Deaf,instance of,organization
Nickolay Korobov,instance of,mathematician
Waguinho Dias,place of birth,Sumaré
Roman Anin,employer,International Consortium of Investigative Journalists
Paris,mother,Oenone
Stephen B. Oates,family name,Baery
Snatch,cast member,Rupert Grint
Siberia,partially coincident with,Kazakhstan
Robert Sharpe,given name,James
Nilofer S. Azad,occupation,Oncologist
Allie Sherlock,place of birth,Cork
Prithvi Narayan Shah,occupation,king
Frederick Bovenschen,father,Carl Bovenschen
Stella W. Pang,educated at,Princeton University
Empress Sunmyeong,family,Yeoheung Min clan
Allie Sherlock,country of citizenship,Ireland
Rutherglen Football Club (1893),country,Australia
Jefferson Farfán e die a kalle,country of citizenship,Lima
Károly Pius Koller,place of birth,Nagykanizsa
Andréa G. Grottoli,given name,Geneviève
Giuseppe Cassella,position held,director
Afruz Amighi,educated at,Barnard College
Carl Michael Bellman,place of burial,Stockholm
horn of Africa,country,Ethiopia
Fernando Mario Chávez Ruvalcaba,place of death,Zacatecas
T. P. Padmanabhan Nair,occupation,volleyball player
Zagreb Marathon,country,Croatia
Master and Commander,set in environment,ship
Jean-Pierre Adams,medical condition,coma
Park Place Gallery,significant person,Paula Cooper
Nina H. Kennard,spouse,Arthur Challis Kennard
Diyalo Bangala,country,Nepal
Andreas Sjalg Unneland,electoral district,Oslo
Gabriel Slonina,league,Major League Soccer
Roman Anin,award received,Pulitzer Prize
Teresa Żylis-Gara,place of death,Łódź
Albanian,subclass of,Indo-European
Ernest Henry Rivett-Carnac,occupation,cricketer
Robledo,located in the administrative territorial entity,Casares de las Hurdes
Helen Beaglehole,occupation,historian
2021 Russian legislative election,candidate,LDPR
The Last Voyage,set in environment,ship
Jenna Sudds,elected in,2021 Canadian federal election
Levantine Arabic,has part,Damascus Arabic
Irene Baker,interested in,Tsetse fly
Piaroa,country of citizenship,Venezuela
Marais Viljoen High School,country,South Africa
electric bicycle laws,subclass of,traffic law
The Burnt Orange Heresy,cast member,Elizabeth Debicki
Kaimanawa Forest Park,country,New Zealand
Zhao Chunjiang,occupation,engineer
Menudo,replaces,Miguel Cancel
Apollo Global Management,chief executive officer,Leon Black
Yekaterina Dmitrichenko,country of citizenship,Kazakhstan
Kaadan,distribution format,direct-to-video
Institute of National Remembrance,chairperson,Karol Nawrocki
Morenada,subclass of,Bolivian dance
Samsung Galaxy J,CPU,Qualcomm Snapdragon 800
Charles de Gaulle,work location,France
Juanita Guccione,child,Djelloul Marbrook
Banapur,language of work or name,Odia
Out to Sea,set in environment,ship
Achutha Kurup,occupation,volleyball player
Enginalan,instance of,village
Thierry Choffat,languages spoken written or signed,French
Anne Hidalgo,language of work or name,French
Ukraїner,language of work or name,French
God of War Ragnarök,character role,Freya
Grey Ruthven 2nd Earl of Gowrie,place of birth,Dublin
Karan Armstrong,spouse,Götz Friedrich
Take No Prisoners,stated in,AllMusic
Thin Lizzy,has part,Ricky Warwick
Heather McPherson,occupation,editor
Vladyslav Zahrebelnyi,participant in,2020 Summer Paralympics
God of War Ragnarök,characters,Mímir
Lieutenant Governor of Quebec,country,Canada
Dan Topping,given name,Reid
Puss in Boots,set in environment,castle
Jakub Miśkowiak,occupation,speedway rider
Menudo,replaces,Johnny Lozada
Joseph P. Allen,occupation,professor
Melittomma pervagum,taxon author,Arthur Sidney Olliff
Carlo Brioschi,position held,director
Obs!,language of work or name,Swedish
Mikis Theodorakis,place of death,Athens
10 Minute School,founded by,Ayman Sadiq
Matthias Sammer,coach of sports team,VfB Stuttgart
Rochester,instance of,city
Philip Hellström Bängs,country of citizenship,Sweden
La Palma,language of work or name,Spanish
Thomas Kutschaty,language of work or name,German
conscription,practiced by,conscript soldier
Takeo Miki,member of political party,National Cooperative Party
Amrullah Saleh,sibling,Rohullah Azizi
Werner Grübmeyer,member of,ZDF Television Council
Tashigang,instance of,village
Aziz Daneshrad,occupation,electrical engineer
Oto Kanno,place of birth,Tokyo
Piaroa,instance of,indigenous people
Jordi Rebellón,occupation,stage actor
Anne Wyllie,country of citizenship,New Zealand
Arkansas Traveler,composer,traditional
Gloria M. Payne-Banfield,occupation,politician
Israel Kamakawiwoʻole,work location,Hawaii
Liolaemus balagueri,taxon rank,species
Jesus,kinship to subject,kin
Pioneer Valley,instance of,area
Trine Lise Sundnes,occupation,politician
Laurel Collins,electoral district,Victoria
Grande Fratello VIP season 5,participant,Dayane Mello
Jeff Sonhouse,occupation,painter
Chínipas River,located in the administrative territorial entity,Chihuahua
Cecily Mackworth,place of birth,Llantilio Pertholey
Drvar,instance of,village
New Year,facet of,calendar
Great Loop,has part,Mississippi River
God of War Ragnarök,character role,Angrboða
Jan Hecker,place of death,Beijing
God of War Ragnarök,director,Eric Williams
Queen Inseon,languages spoken written or signed,Korean
Pat Maginnis,given name,Patricia
12 Angry Men,stated in,Rotten Tomatoes
Kokona Iwasaki,languages spoken written or signed,Japanese
Marxism–Leninism,founded by,Vladimir Lenin
HMS Larne (J274),instance of,corvette
James Bradshaw Adamson,academic major,engineer
conscription,subclass of,military service
hitting for the cycle,has part,single
Randy Hoback,parliamentary term,43rd Canadian Parliament
Cyndi Lauper,family name,Thornton
Royal Consort Huibin Jang,family,Indong Jang clan
Gregor Wenning,academic degree,Doctor of Philosophy
The Elder Sister-like One,instance of,manga series
Plaine des Sables,located in the administrative territorial entity,Saint-Joseph
Sgt. Pepper's Lonely Hearts Club Band,followed by,The Beatles
John Dominis Holt II,place of death,Wailuku
Camora,country for sport,Romania
Portrait of Mlle. Lange as Danaë,applies to part,foot
Mills College,parent organization,Northeastern University
Melbourne Convention and Exhibition Centre,named after,Jeff Kennett
Museo archeologico nazionale della Basilicata,dedicated to,Dinu Adameșteanu
Muhammad Muqim,occupation,poet
Diablada,country,Chile
Hoàng Thùy,country of citizenship,Vietnam
Ukraїner,main subject,Ukrainians
Fenerbahçe SK (multi-sports club),sport,basketball
Bandish,original language of film or TV show,Urdu
Olaf Scholz,sibling,Ingo Scholz
dialectical materialism,part of,Marxism
Year 3000,instance of,song
Kenneth Victor Young,educated at,Indiana University
sarma,country of origin,Turkey
Harry E. Soyster,educated at,Pennsylvania State University
Phil Schaap,stated in,The New York Times
FAW Group,product or material produced,truck
Daniel Spassov,occupation,singer
Santiago Cafiero,replaces,Felipe Solá
Alvarus Thomaz,native language,Portuguese
Fail-Safe,set in environment,aircraft
Sarah Harding,genre,dance-pop
Aiden Markram,member of sports team,Punjab Kings
Florin Cîțu,of,National Liberal Party
God of War Ragnarök,character role,Týr
Oyo State,continent,Africa
Leonor Espinoza,participant in,2020 Summer Paralympics
Mary Andrews Denison,place of birth,Cambridge
Linda Tripp,family name,Carotenuto
Night of the Kings,cast member,Koné Bakary
Miroslav Rada,member of sports team,FK Teplice
Evelyn Murray,given name,George
American Overseas Airlines,item operated,Douglas DC-3
Technology of the Dune universe,set in environment,desert
Clone Drone in the Danger Zone,platform,PlayStation 4
Roberto Colautti,relative,Ram Strauss
Jeff Sonhouse,educated at,Hunter College
Jüterbog station,connecting line,Anhalt Railway
John Armstrong Taylor Meadows,sibling,Thomas Taylor Meadows
Antonia Lloyd-Jones,country of citizenship,United Kingdom
Thanwa Raseetanu,cause of death,COVID-19
Roman Anin,employer,Novaya Gazeta
Luís Maximiano,member of sports team,Granada CF
Salt Bae,work location,Dubai
Helen Beaglehole,country of citizenship,New Zealand
Anne Wyllie,educated at,University of Auckland
Tamim bin Hamad Al Thani,noble title,emir
Joe Esposito,place of birth,Acerra
Dayananda Saraswati,subject has role,Swami Dayananda Ashram
Arc International,language of work or name,French
A724 road,historic county,Lanarkshire
Aisha,spouse,Muhammad
Anne Wyllie,given name,Louise
Tyler Adams,league,Bundesliga
Edward Kelley,work location,Prague
California,capital,San Jose
Thanwa Raseetanu,place of death,Bangkok
Concepción Ramírez,place of death,Santiago Atitlán
conscription,part of,armed forces
Kamen Rider Saber,followed by,Kamen Rider Revice
Yasmin Yusoff,country of citizenship,Malaysia
Nightcrawlers,set in environment,jungle
Ukraїner,language of work or name,Georgian
Jean-Philippe Rolland,languages spoken written or signed,French
Conley Byrd,country of citizenship,Kansas
Spyder,set in environment,hospital
Eric Cecil Ansorge,father,William John Ansorge
Philippine Wolff-Arndt,occupation,painter
Margita Tomanová,occupation,chess player
William Emmett Murphy,occupation,trade unionist
Tall el-Hammam,country,Jordan
Last Night in Soho,cast member,Matt Smith
Jiang Xingwei,occupation,engineer
iTunes Store,platform,macOS
Union Station,criterion used,C
Warum nur warum?,object has role,CO
Peter Williams,stated in,The New York Times
Jellystone!,characters,Huckleberry Hound
Ukraїner,language of work or name,German
Zang Di,occupation,poet
siblings of Jesus,part of,Desposyni
Giulia Daneo Lorimer,languages spoken written or signed,Italian
Delk M. Oden,place of burial,Arlington National Cemetery
Brymbo Hall,historic county,Denbighshire
Erromintxela,subclass of,Basque
Buckling,subclass of,phenomenon
Nikolai Ivanovich Kozyrev,country of citizenship,Soviet Union
physics,instance of,science
DokeV,developer,Pearl Abyss
Okinawan martial arts,country of origin,Ryukyu Kingdom
Greg McLean,electoral district,Calgary Centre
Cars 3,characters,Jackson Storm
Lady of the Manor,cast member,Justin Long
Warren H. Wilson,educated at,Oberlin College
God of War Ragnarök,character role,Thor
John D. Alexander,occupation,naval flight officer
The Artful Escape,voice actor,Jason Schwartzman
BioSerenity,headquarters location,Paris
50 First Dates,place of publication,Japan
Alex Strangelove,place of publication,San Francisco International Film Festival
Vladyslav Zahrebelnyi,practiced by,long jump
Alexander Ring,of,Austin FC
Harry E. Soyster,academic major,management
Arnaud Assoumani,sports discipline competed in,long jump
Leila Mustafa,position held,mayor
Rahimullah Yusufzai,place of death,Peshawar
Rudolf Weigl,educated at,Jagiellonian University
Nicole Erhardt,languages spoken written or signed,German
Meigle Cricket Club,historic county,Perthshire
Verbotsgesetz 1947,instance of,law
Naomi Seibt,field of work,COVID-19 misinformation
Maud Ingersoll Probasco,place of death,New York City
Jean Fleming,occupation,environmentalist
Poles,language used,Polish
Naky Soto,country of citizenship,Venezuela
Katie Startup,place of birth,Maidstone
Afruz Amighi,has works in the collection,Metropolitan Museum of Art
Dating in New York,distributed by,IFC Films
Ludwig Augustinsson,given name,Hans
Giulia Daneo Lorimer,instrument,violin
Roberto Cherro,country for sport,Argentina
Martha Patricia Ramírez Lucero,place of death,Tijuana
2021 German federal election,candidate,The Left
Calico Jack,unmarried partner,Anne Bonny
Eumelia Hernández,place of death,Caracas
Robert Schuman,conferred by,Francis
God of War Ragnarök,characters,Odin
Se piangi se ridi,language of work or name,Italian
George Chahal,elected in,2021 Canadian federal election
Alfhilda Mechlenburg,place of birth,Copenhagen
MASN,instance of,Regional sports network
Salt Bae,work location,Ankara
ABC News,object has role,president
Shaan,sibling,Sagarika
William Nauns Ricks,place of death,Oakland
Akira Miyawaki,native language,Japanese
Hubert Bonisseur de La Bath,performer,Alan Scott
William Emmett Murphy,occupation,politician
Luigi Conti,place of death,Fermo
Tina Karol,native language,Russian
The Queen's Gambit,original broadcaster,Netflix
Abdul Rahman Oues,languages spoken written or signed,Syria
Queen Helen The Queen Mother of Romania,languages spoken written or signed,Romanian
There's Someone Inside Your House,cast member,Théodore Pellerin
Irene Baker,family name,Williams
Lee Harland,sport,rugby league
Sarah Dash,genre,jazz
Aleksandr Chupriyan,replaces,Yevgeny Zinichev
Bukit Bintang City Centre,located in the administrative territorial entity,Kuala Lumpur
2021 Moroccan,candidate,Authenticity and Modernity Party
Bedazzled,character role,devil
Naky Soto,occupation,writer
