subject,relation,object
King Richard,cast member,Saniyya Sidney
sergeant,follows,corporal
Edgardo Sogno,native language,Italian
Lin Huiyin,residence,Kunming
Sheila Y. Oliver,applies to jurisdiction,New Jersey
Python sebae,IUCN conservation status,Near Threatened
Party of Democratic Socialism,replaced by,The Left
International Society for Krishna Consciousness,of,Hinduism
Outer Wilds,depicts,time loop
Liberal Democratic Party,chairperson,Fumio Kishida
Renault,subsidiary,Saviem
Zodiac Killer,said to be the same as,Gary Francis Poste
Robert Florey,writing language,Spanish
Stokes' law,symbol represents,drag
Wahbi Khazri,country for sport,France
Jane Powell,end cause,divorce
Betty Lynn,place of death,Mount Airy
Tsuyoshi Yamaguchi,position held,Minister of the Environment
equestrian at the 2020 Summer Olympics – individual jumping,stage reached,final
Mio Sugita,writing language,Japanese
Ginger Baker,object has role,drummer
Jin Air Green Wings,sports discipline competed in,League of Legends
Mihaly Csikszentmihalyi,given name,Robert
Masayoshi Ito,writing language,Japanese
Suzanne Jackson,has works in the collection,Hammer Museum
Tom Waits,native language,Spanish
Lucas Zelarayán,country for sport,Armenia
Steven Gerrard,league,Major League Soccer
Alfred Cannan,replaces,Howard Quayle
XVIII International Chopin Piano Competition,participant,Georgijs Osokins
Fumio Kishida,position held,Prime Minister of Japan
Sebastian Kurz,replaced by,Alexander Schallenberg
Hallelujah,object has role,CA
Marc Márquez,language of work or name,Spanish
Egy Maulana Vikri,member of sports team,FK Senica
The Heroic Legend of Arslan,published in,Bessatsu Shōnen Magazine
Epic Games,product or material produced,Fortnite
Dune,ClassInd rating,14
Espinoza Paz,family name,Chávez
Máire Mhac an tSaoi,occupation,diplomat
Colin Powell,academic degree,Master of Business Administration
Yannis Tafer,country for sport,Germany
Pomona,instance of,town
Giorgio Parisi,field of work,Spin glass
economic progressivism,different from,economic liberalism
Björn Bergmann Sigurðarson,sibling,Bjarni Guðjónsson
Piaroa,described by source,work
George Munger,child,George Nicholas Munger
Amir Hossein Zare,country for sport,Iran
Olga Seryabkina,member of,Serebro
Tomomi Inada,writing language,Japanese
Louise of Sweden,located in the administrative territorial entity,Copenhagen
The French Dispatch,set in environment,city
German Bowl XLII,country,Germany
Intrexx,version type,rolling release
Ashley Roberts,member of,The Pussycat Dolls
Göring Telegram,language of work or name,German
Door County,located in/on physical feature,Niagara Escarpment
Johan Djourou,position played on team / speciality,defender
entropy,different from,enthalpy
Alexei Navalny,award received,Sakharov Prize
Inori,instance of,album
Nikita Khaykin,country for sport,Israel
Huachen Automotive Group Holdings Company Limited,subsidiary,Jinbei
Port Authority Trans-Hudson,uses,third rail
Russian Canadians,country,Alberta
Filipino people,country of citizenship,Philippines
Mel Ferrer,native language,Spanish
Ziauddin Ahmed Bablu,place of death,Dhaka
adultery,of,spouse
pyrylium,has part,oxygen
Reiwa Shinsengumi,has part,Takashi Takai
Dilip Kumar,languages spoken written or signed,Hindi
Lotus Europa S,subclass of,sports car
Benjamin Wolff,owner of,Engelholm
Bernard Haitink,stated in,De Volkskrant
Ronaldinho,languages spoken written or signed,Spanish
U2,influenced by,The Jam
Yogendra Vyas,doctoral advisor,Prabodh Pandit
XVIII International Chopin Piano Competition,participant,Tomoharu Ushida
Sergio Ramos,spouse,Pilar Rubio
Dextre,has part,robotic arm
Ministry of Education and Research of Norway,chairperson,Ola Borten Moe
William Izarra,cause of death,COVID-19
Göring Telegram,translator,Hugh Trevor-Roper
Björn Bergmann Sigurðarson,sibling,Þórður Guðjónsson
Luka Snoj,competition class,3x3 basketball
Alec Baldwin,award received,Primetime Emmy Award
Björn Bergmann Sigurðarson,sibling,Joey Guðjónsson
denar,replaces,Yugoslav dinar
Inori,place of publication,Japan
Péter Márki-Zay,languages spoken written or signed,Hungarian
Katarina Frostenson,family name,Arnault
John Augustine Edgell,military rank,lieutenant
Bud Flanagan,significant event,double act
Jesé Rodríguez,position played on team / speciality,forward
Gloria Estefan,award received,Billboard Spirit of Hope Award
Keizō Hayashi,writing language,Japanese
U2,influenced by,Sex Pistols
Chyna,writing language,Spanish
Adelaide Street Circuit,significant event,Australian Grand Prix
Chiedozie Ogbene,country of citizenship,Ireland
Society of the Muslim Brothers,religion,Islam
Sirikit,languages spoken written or signed,Thai
Now United,has part,Nour Ardakani
Hinduism,has quality,Bhakti
Ofri Arad,kinship to subject,brother
Joint Base McGuire–Dix–Lakehurst,has part,Fort Dix
Kimberley Atlético Club,located in the administrative territorial entity,Buenos Aires
Lana Del Rey,writing language,Spanish
Louise of Sweden,languages spoken written or signed,Danish
Fernando Llorente,member of sports team,SD Eibar
WCBS-TV,translator,Riverhead
Angelo Codevilla,given name,Maria
Mexico,applies to part,Jalisco
Giorgio Parisi,field of work,Kardar–Parisi–Zhang equation
Mexico,instance of,empire
Kitty Gordon,child,Vera Beresford
Ahmad ibn Hanbal,religion,Islam
Marriott International,subsidiary,Renaissance Hotels
Warren Feeney,country for sport,Northern Ireland
2011 Tōhoku earthquake and tsunami,named by,Japan Meteorological Agency
referendums in Australia,results,no
Reminiscence,RCQ classification,G
Dextre,instance of,robot
Baruch Dego,sibling,Messay Dego
Tony Khan,academic major,finance
Louise of Sweden,noble title,princess
Sergi Barjuan,coach of sports team,Huelva
Hernán Crespo,coach of sports team,Defensa y Justicia
Happy Science,instance of,religious organization
John Keiller MacKay,place of birth,Pictou
Lee Byung-hun,blood type,O
Dmytro Razumkov,position held,Chairman of the Verkhovna Rada
Eos,unmarried partner,Tithonus
Depositphotos,parent organization,Vistaprint
Sabina Mazo,sport,mixed martial arts
murder,different from,killing
Frank Brown,occupation,clown
Ryan Crouser,sports discipline competed in,shot put
Sol Bamba,country for sport,France
Vishnu Purana,author,Parashara
Kichisaburō Nomura,writing language,Japanese
Divock Origi,father,Mike Origi
Ian Wright,relative,Drey Wright
Joanna Rakoff,occupation,poet
Dutch Empire,capital,Amsterdam
Yoko Ono,end cause,divorce
XVIII International Chopin Piano Competition,participant,Aimi Kobayashi
Kathryn M. McGrath,occupation,chemist
Wizard of New Zealand,employer,Christchurch
Buddy Rich,genre,jazz
AaB Fodbold,language of work or name,English
Starship development history,product or material produced,Raptor
Editorial Haynes,located in the administrative territorial entity,Almagro
Door County,located in/on physical feature,Green Bay
Instagram,platform,Android
Frank Herbert,given name,Patrick
Interstate 10 in Texas,has parts of the class,lane
World Forestry Congress,location,Madrid
Gene Keady,country for sport,Kansas
Assassin's Creed,publisher,Ubisoft
Joanne Catherall,member of,The Human League
Ace Frehley,member of,KISS
Indonesian,influenced by,Persian
Bernard Haitink,object has role,honorary member
Ian Wright,kinship to subject,cousin
Kullback–Leibler divergence,symbol represents,probability space
Sting,father,Ernest Matthew Sumner
Haaz Sleiman,country,United Arab Emirates
Tracey Thorn,has written for,New Statesman
J Dilla,member of,Slum Village
Libya,basic form of government,republic
Alitalia,replaced by,ITA Airways
Japan,head of government,Fumio Kishida
Bring radical,instance of,function
Khalid Al Qassimi,father,Faisal bin Sultan Al Qassimi
Fabio Tuiach,native language,Italian
Monika Aidelsburger,award received,Klung Wilhelmy Science Award
Hinduism,part of,Bhakti movement
Ian Scott,place of birth,Ottawa Civic Hospital
2021 German federal election,successful candidate,CDU/CSU
XVIII International Chopin Piano Competition,participant,Hyuk Lee
ESET NOD32 Antivirus,operating system,Windows Mobile
Joshua Kushner,religion,Judaism
Willem Schippers,native language,Dutch
Greta Thunberg,location,Milan
Espinoza Paz,given name,Isidro
Rodolfo Gonzales,place of death,Denver
Sandro Pertini,native language,Italian
Annunciation,participant,Our Lady
De Zalmhaven,architect,KAAN Architecten
Stan Freberg,writing language,Spanish
Ian Scott,family name,Gilmour
World Forestry Congress,location,Rome
Colin Jones,stated in,The Times
Gurage people,country,Ethiopia
Eve,family name,Cooper
Salvator Rosa,unmarried partner,Lucrezia Paolini
Preuve,language of work or name,French
Marriott International,subsidiary,W Hotels
James Michael Tyler,located in the administrative territorial entity,Mississippi
MIT license,said to be the same as,X11 license
Milorad Dodik,replaced by,Željko Komšić
Halloween Kills,ClassInd rating,16
Indonesian,influenced by,Sanskrit
Sinan Bolat,country for sport,Turkey
Abatur,instance of,Uthra
John E. Murray,educated at,St. John's University
Sergi Barjuan,replaces,Ronald Koeman
Peter Tosh,record label,EMI
Jordi Cruyff,country for sport,Netherlands
BrickArms,depicts,weapon
Jennifer West,educated at,Evergreen State College
S. Iswaran,position held,Minister for Transport
Morbius,character role,Adrian Toomes
The Simpsons opening sequence,has part,couch gag
Bartolomé Esteban Murillo,spouse,Beatriz Cabrera y Villalobos
Aimi Kobayashi,located in the administrative territorial entity,Yamaguchi Prefecture
ESET NOD32 Antivirus,operating system,Linux
Hinduism,ethnic group,South Asian ethnic groups
The Smurfs 2,Australian Classification,G
The Flowers of Evil,named after,Les Fleurs du mal
Giulio Natta,work location,Milan
Minister of Culture,officeholder,Anette Trettebergstuen
Adeline Gray,award received,gold medal
Concord Point Light,made from material,granite
Iran Pro League,has part,2016–17 Persian Gulf Pro League
Sebastian Kurz,significant person,Alexander Schallenberg
Matsu Islands,located in the administrative territorial entity,Lienchiang County
Judi Dench,father,Reginald Arthur Dench
Gan Kim Yong,replaces,Khaw Boon Wan
Halloween,has part,trick-or-treating
Bandai,product or material produced,toy
Jo Labanyi,employer,University of London
Ian Wright,relative,Jermaine Wright
C++/WinRT,developer,Microsoft
Sean Wainui,sport,rugby
Udo Zimmermann,place of death,Dresden
Project Runway season 18,Kijkwijzer rating,AL
Jeon So-mi,member of,Unnies
Iya Gavrilova,educated at,University of Minnesota Duluth
Naby Keïta,league,Premier League
Adi Shilon,country,Israel
C Line,uses,overhead line
Prime Minister of Norway,officeholder,Jonas Gahr Støre
Pixel 3,operating system,Android 12
Adrien Hunou,league,Ligue 1
Scoob!,characters,Scooby-Doo
Louise of Sweden,given name,Lovisa
Jaime Alemán Healy,occupation,lawyer
Davao death squads,operating area,Davao City
Soony Saad,educated at,University of Michigan
Contract Freighters Inc.,located in the administrative territorial entity,Missouri
Trevor Lawrence,award received,ACC Athlete of the Year
Norwegian Academy,chairperson,John Ole Askedal
God of War,platform,Microsoft Windows
The Batman,cast member,Alex Ferns
Brian Clough,child,Nigel Clough
Jovita Moore,place of birth,Atlanta
Danger Close Games,headquarters location,Redmond
Red River Campaign,located in the administrative territorial entity,Louisiana
Scoob!,character role,Daphne Blake
RuPaul's Drag Race Down Under,production company,World of Wonder
Abdul Qadeer Khan,field of work,metallurgy
Lauryn Hill,member of,Fugees
Gyaru,instance of,fashion style
Didier Drogba,country for sport,France
Wolfgang Schäuble,elected in,2021 German federal election
Iya Gavrilova,academic major,economics
Circuit of the Americas,significant event,United States Grand Prix
Three Women,cast member,Huda Sultan
Cindy Kiro,position held,Governor-General of New Zealand
Daishen Nix,league,NBA G League
Rocha Department,determination method,census
Osman Kavala,country of citizenship,Turkey
Miri Bohadana,country,Israel
Alfredo Di Stéfano,member of sports team,Boca Juniors
Joc Pederson,member of sports team,Chicago Cubs
Tomin First no Kai,language of work or name,Japanese
wind chill,calculated from,wind speed
Sage Steele,notable work,SportsCenter
Hélène Rytmann,place of birth,Paris
Ralph Hasenhüttl,country for sport,Austria
Dániel Sallói,languages spoken written or signed,Hungarian
Ionel Nicolae Romanescu,occupation,inventor
Galyani Vadhana,kinship to subject,younger brother
J.R. Carpenter,genre,electronic literature
Jason Truby,member of,Living Sacrifice
Orson Welles,writing language,Spanish
Oskemen,language of work or name,Kazakh
Chevalier de Saint-George,given name,Bologne
Romain Métanire,country for sport,France
Volunteer Fighting Corps,country,Japan
Virgil Bernero,position held,mayor
Mike Jensen,father,Henrik Jensen
Mexico,applies to part,Guerrero
Natalie Wood,native language,English
Boris Nemtsov,position held,Federation Council
Vamona Navelcar,place of death,Panaji
Christoffel Jacobsz van der Laemen,place of birth,Antwerp
Julieta Venegas,native language,Spanish
Stan Freberg,native language,Spanish
Lin Huiyin,employer,Northeastern University
Brian Marshall,member of,Alter Bridge
Declaration of Independence of Ukraine,nature of statement,official
equal-field system,country,Northern Wei
Jean Schmidt,replaces,Sam Bateman
Candi Staton,spouse,Otis Nixon
Grey Ruthven 2nd Earl of Gowrie,position held,chairperson
Tom Strong,present in work,Terra Obscura
Michael López-Alegría,astronaut mission,Axiom Mission 1
Scoob!,characters,Daphne Blake
Caliber System,subsidiary,Roadway Express
Brooke Hayward,end cause,divorce
ceramic,subclass of,material
Kathryn M. McGrath,country of citizenship,New Zealand
J.R. Carpenter,award received,New Media Writing Prize
Sergi Barjuan,subject has role,interim
Wannabe,distribution format,CD single
Mexico,applies to part,Campeche
Umberto II of Italy,native language,Italian
Hélène Rytmann,ethnic group,Jewish
Marcello Musto,occupation,professor
Vajiravudh,noble title,king
Hussein El Dor,place of birth,Tanda
Russian Canadians,country,Ontario
Trolls World Tour,IFCO rating,G
Estação Primeira de Mangueira,performer,Jamelão
SEPECAT Jaguar,operator,Ecuadorian Air Force
Chad Taylor,occupation,composer
Haaz Sleiman,country of citizenship,Beirut
ViCi Gaming,sports discipline competed in,League of Legends
Ivan Sadovnichiy,member of sports team,Belarus national football team
Doom,narrative location,Hell
Gear Fighter Dendoh,screenwriter,Chiaki Morosawa
cathedral,occupant,bishop
Pierre Bourque,place of birth,Ottawa
AGL Resources,industry,natural gas
Ray Manzarek,spouse,Dorothy Aiko Fujikawa
Melty Blood,language of work or name,Japanese
TripActions,industry,Corporate travel management
Armadale/Thornlie line,uses,South Western Railway
Tony Khan,educated at,University Laboratory High School
Zhai Zhigang,astronaut mission,Shenzhou 13
Women's Liberation Front,chairperson,Lierre Keith
Prince Fushimi Hiroyoshi,writing language,Japanese
Aldo Moro,native language,Italian
Wu Hu luan hua,has part,Xiongnu
Ron Watkins,residence,Arizona
Adele,voice type,contralto
Team Secret,sports discipline competed in,Dota 2
Gan Kim Yong,position held,Minister for Manpower
Alberta Highway 2,part of,Northern Woods and Water Route
Empress Wanrong,of,Manchukuo
Aleš Brichta,member of,Arakain
Solamente una vez,lyrics by,Agustín Lara
Carole Landis,end cause,divorce
Yoshihide Suga,replaced by,Fumio Kishida
E. W. Scripps Company,location,Ohio
Hilton Worldwide,subsidiary,Tapestry Collection
Wu Hu luan hua,has part,Di
Marcello Musto,influenced by,Karl Marx
Zin Wine,sex or gender,male
Qwiki,founded by,Louis Monier
The Mauritanian,EIRIN film rating,G
Van Hipp Jr.,academic major,economics
Stortinget,chairperson,Eva Kristin Hansen
Benjamin Wolff,occupation,estate owner
evaporative cooler,uses,evaporation
Gian-Carlo Carra,place of birth,Calgary
Tom Waits,writing language,Spanish
Olga Richterová,results,-elect
Grateful Dead,has part,Keith Godchaux
Ainokaze Toyama Railway,language of work or name,Japanese
Bill Kreutzmann,member of,Grateful Dead
Scoob!,characters,Shaggy Rogers
Scoob!,characters,Dynomutt
William Shatner,member of the crew of,Blue Origin NS-18
pyridine,conjugate acid,pyridinium
Tomin First no Kai,applies to jurisdiction,Tokyo
LibreOffice,publisher,The Document Foundation
Moon Knight,production company,Marvel Studios
Arthur Holroyd,given name,Todd
Beatrice Lorenzin,native language,Italian
Sri Koesnapsijah,country of citizenship,Indonesia
Tower City Center,has part,Time Warner Cable Amphitheater
Inori,follows,Sakanaction
Roy Horan,place of death,Los Angeles
Amir Abdullah Khan Rokhri,native language,Urdu
Reba McEntire,instrument,piano
Gadi Taub,employer,Haaretz
Dagmar Cross,made from material,gold
Karlo Letica,member of sports team,CFR Cluj
Colin Jones,employer,The Royal Ballet
Alexei Navalny,award received,M100 Media Award
Mitsubishi Caterpillar Forklifts,industry,manufacturing
Pilgrim Airlines Flight 458,instance of,forced landing
Pilgrim Airlines Flight 458,has immediate cause,fire
Paul Blanca,stated in,Het Parool
Finesville,located in the administrative territorial entity,Holland Township
Marbled electric ray,IUCN conservation status,Vulnerable
Billy Gould,member of,Faith No More
Anamnesis,subclass of,Anaphora
Joy Hodges,given name,Frances
Lincoln Memorial,color,pink
Puneeth Rajkumar,place of publication,Chennai
Eva Xanim,occupation,teacher
Mustafa Ali,located in the administrative territorial entity,Illinois
Teresa Miller,given name,Ann
Alberto Marvelli,native language,Italian
Greg Tribbett,member of,Mudvayne
Ivan Bartoš,native language,Czech
Pterocaesio marri,taxon author,Leonard Peter Schultz
Christopher Lawrence Bong Tesoro Go,educated at,Ateneo de Davao University
Jose W. Diokno,occupation,senator
Suzanne Jackson,has works in the collection,Museum of Modern Art
Despicable Me 2,IMDA rating,G
MIT license,has edition or translation,X11 license
All Too Well,instance of,song
Kimberley Atlético Club,affiliation,Argentine Football Association
XVIII International Chopin Piano Competition,participant,Miyu Shindo
Indonesian,influenced by,Portuguese
Marlene Dietrich,writing language,German
Adi Shilon,country,Germany
Tsitsi Dangarembga,country,Zimbabwe
IC Gentofte,language of work or name,Danish
Isaiah Aram Minasian,educated at,Juilliard School
Christopher Wenner,country of citizenship,Timor-Leste
Lim Kim San,replaces,Goh Keng Swee
Ziauddin Ahmed Bablu,educated at,University of Dhaka
Eva Olsson,occupation,researcher
Baruch Dego,kinship to subject,brother
Samuel G. Havermale,place of death,Spokane
1992–93 UEFA Champions League,member of sports team,PSV Eindhoven
meningitis,instance of,disease
West Bend,of,Washington County
Marguerite Dunlap,place of birth,Camden
Critical Role,distribution format,Twitch
Roger Waters,spouse,Kamilah Chavis
Lochend House,located in the administrative territorial entity,Edinburgh
Gökhan Saki,native language,Dutch
Lake Mohawk,located in the administrative territorial entity,Sparta Township
Grateful Dead,replaces,Brent Mydland
Dario Šimić,sibling,Josip Šimić
Minister of Agriculture and Food,officeholder,Sandra Borch
Mahendra Munjapara,place of birth,Surendranagar
Vajiravudh,occupation,scout
Marianne Schmid Mast,occupation,dean
Eileen Burbidge,employer,Passion Capital
Chestertons,industry,estate agent
David Fleay,mother,Maude Edith Victoria Fleay
Alexander Severus,stepparent,Marcus Julius Gessius Marcianus
nudism,subclass of,nudity
Deborah Fallows,occupation,linguist
Soviet Central Television,has part,Programme One
cone beam computed tomography,has part,Cone beam reconstruction
Lana Del Rey,native language,Spanish
Ministry of Education and Research of Norway,chairperson,Tonje Brenna
The Smurfs 2,IFCO rating,G
Arie Hanggara,languages spoken written or signed,Indonesian
wind chill,partially coincident with,apparent temperature
Indonesian,influenced by,Sundanese
Jin Matsubara,writing language,Japanese
Scoob!,character role,Muttley
Mehdi Ghayedi,country of citizenship,Iran
Nigel Williams-Goss,native language,Spanish
Wu Hu luan hua,has part,Xianbei
John Augustine Edgell,military rank,rear admiral
North Yorkshire Police Fire and Crime Commissioner,officeholder,Philip Allott
Kenneth Vermeer,languages spoken written or signed,Dutch
Samuel Daniel,located in the administrative territorial entity,Somerset
Bienvenido Marañón Morejón,country of citizenship,Philippines
Coleta de Sabata,place of birth,Arad
Echigo Tokimeki Railway Company,item operated,Myōkō Haneuma Line
Wicked Witch of the East,sibling,Wicked Witch of the West
Humphrey Lloyd Hime,place of birth,Moy County Tyrone
Daniel Radcliffe,father,Alan George Radcliffe
Peter Bunnell,given name,Curtis
Marguerite Dunlap,place of burial,Bloomfield Cemetery
Tower City Center,has part,Skylight Office Tower
Uncharted,distributed by,Sony Pictures Releasing
Lauryn Hill,native language,Spanish
Great Dane Airlines,item operated,Embraer 195
Frank de Boer,kinship to subject,twin
Aamir Hussain,languages spoken written or signed,Urdu
Nathaniel Jarvis Wyeth,place of death,Cambridge
André Ayew,country for sport,France
Stéphane Mbia,sibling,Franck Etoundi
Joy Hodges,given name,Eloise
Renato Zangheri,native language,Italian
Lechosław Olsza,languages spoken written or signed,Polish
Stan Freberg,languages spoken written or signed,Spanish
Élise L'Heureux,kinship to subject,son-in-law
ViCi Gaming,sports discipline competed in,Dota 2
Colin Jones,spouse,Lynn Seymour
University College London,located in the administrative territorial entity,Bloomsbury
Governor-General of New Zealand,officeholder,Cindy Kiro
TFI International,country,Canada
Vajiravudh,located in the administrative territorial entity,Bangkok
Gustavo Barroso,native language,Portuguese
Dune,place of publication,Sweden
Metroid Fusion,distribution format,ROM cartridge
Mark P. Stucky,employer,Virgin Galactic
Pedri,position played on team / speciality,midfielder
Indonesian,influenced by,Old Javanese
Leandro Bacuna,sibling,Juninho Bacuna
Booth School of Business,located in the administrative territorial entity,Hong Kong
Super Smash Bros. Ultimate,characters,Sora
Park Street station,connecting service,Green Line
ASEAN,has part,Vietnam
San José Department,determination method,census
Supercrooks,derivative work,Super Crooks
Nancy Oestreich Lurie,place of death,Milwaukee
Bill Bruford,member of,Yes
The Hall of Presidents,characters,Theodore Roosevelt
Majed Bin Abdullah Al Qasabi,occupation,minister
Răzvan Raț,country for sport,Romania
1989,tracklist,Clean
Senga Nengudi,family name,Irons
Human Appeal,field of work,International development
Gökhan Saki,languages spoken written or signed,Dutch
Menasco,industry,aerospace
Vít Rakušan,native language,Czech
Hadia Tajik,cabinet,Støre's Cabinet
Robin van Roosmalen,sport,kickboxing
Wu Hu luan hua,has part,Qiang
John E. Murray,conferred by,New York Law School
Nanque Indumentaria,headquarters location,Banfield
Markus Stockhausen,language of work or name,German
