subject,relation,object
87 Clockers,language of work or name,Japanese
Mako Komuro,academic major,art
William Clayton,discoverer or inventor,odometer
Markus Menzler,languages spoken written or signed,German
2018 Tehran Grand Bazaar protests,country,Iran
arXiv,funder,CERN
Silvia Vignolini,languages spoken written or signed,Italian
Beam Me Up Scotty,form of creative work,mixtape
King Lear,form of creative work,play
La Cenerentola,location of first performance,Teatro Valle
BBC Sport,industry,Media
Mirotic,place of publication,Japan
Maggie Hassan,work location,Washington D.C.
AIDES,chairperson,Daniel Defert
Nightcrawler,enemy of,Azazel
Gennadi Muravin,country of citizenship,Soviet Union
Verma module,symbol represents,universal enveloping algebra
Kemono Friends,valid in place,Japan
Carolyn Walker-Diallo,academic major,business administration
Harlan Hoge Ballard,mother,Julia Perkins Ballard
Verma module,symbol represents,quotient module
Claudius Gothicus,statement supported by,Epitome de Caesaribus
Lexington Avenue/59th Street,towards,Woodlawn
Sir Francis Winnington 5th Baronet,position held,High Sheriff of Worcestershire
Saddle Mountain,located in the administrative territorial entity,Wyoming
The Puritan,form of creative work,play
Brandenburg,direction relative to location,north
Laplace's equation,symbol represents,Laplace operator
William Hepworth Dixon,place of burial,Highgate Cemetery
Mako Komuro,publisher,Imperial Household Agency
Louis Hyman Bean,occupation,pollster
tiramisu,creator,Ado Campeol
Federico Granja Ricalde,place of death,Mérida
Yukhym Zvyahilsky,cause of death,COVID-19
Savage,publisher,United States Census Bureau
Yubisaki Milk Tea,language of work or name,Japanese
1992 Winter Olympics medal table,location,Albertville
Choi Myung-bin,native language,Korean
2021 United Nations Climate Change Conference,applies to part,Nationally Determined Contributions
Anti-Counterfeiting Trade Agreement,signatory,Canada
Gilbert and Ellice Islands,language used,Spanish
André Grétry,location,Liège
James Jemut Masing,place of birth,Sarawak
Latif Al Ani,family name,Al-Ani
David Hoogsteen,sport,ice hockey
Sanada Taiheiki,country of origin,Japan
Naruto,characters,Sasuke Uchiha
Abdul Wahab Dalimunthe,residence,Medan
Internet censorship,main subject,use
Banksy,movement,contemporary art
William Estel Potts,educated at,Gonzaga University
Renato Coturri,languages spoken written or signed,Italian
Ashlee Vance,employer,Bloomberg Businessweek
Daisy Romualdez,said to be the same as,Margarita Romualdez
Macbeth,form of creative work,play
Hierodoris eremita,type locality (biology),Ball Glacier
Tor Eckhoff,place of birth,Kristiansund
Michael Corballis,spouse,Barbara Elizabeth Wheeler
USS LST-314,conflict,World War II
Yūji Tokizaki,writing language,Japanese
Strictly Dr. Drew,cast member,Drew Pinsky
Christian Borel,languages spoken written or signed,French
One for the Road,form of creative work,play
Free-thinking Democratic League,merged into,Labour Party
Intel,board member,Pat Gelsinger
Ernestine Ygnacio-De Soto,occupation,historian
Libby Liggins,affiliation,Massey University
Deluxe Distribution,industry,skateboarding
Anti-Counterfeiting Trade Agreement,depositary,Government of Japan
Carol Ferris,armament,power ring
Maximinus Daza,father,Galerius
Meet the Woo,form of creative work,mixtape
Hierodoris squamea,taxon synonym,Gymnobathra squamea
Sirocco,author,Noël Coward
Clara E. Laughlin,place of birth,New York City
Vasile Adamescu,place of death,Cluj-Napoca
John Lee Tae-seok,educated at,Gwangju Catholic University
Woda Number 6,country of origin,Nepal
Edgardo Labella,country of citizenship,Philippines
quotation marks,depicted by,„
Come on Cousin,cast member,Roger Kwok
Snail Mail,record label,Matador Records
Rivian Automotive,stock exchange,NASDAQ
Gennadi Muravin,place of birth,Belgorod
Tosca,genre,opera
Confirmation,has quality,standard
Ed Asner,religion,Jewish
Turkey Television,cast member,Les Lye
Limba Sarda Comuna,instance of,orthography
super heavy-lift launch vehicle,depicts,Energia
exponential family,instance of,family of distributions
Eternals,voice actor,Mahershala Ali
South American Coati,original combination,Viverra nasua
Tom Cat,performer,Richard Kind
Pizzeria Dennis,country,Finland
1973 Fidelity Tournament,located in the administrative territorial entity,Richmond
Kai Ishizawa,country of citizenship,Japan
Ashlee Vance,employer,The New York Times
Urkuya Salieva,occupation,activist
Doncaster RLFC,league,League 1
Henry Brooks Baker,place of birth,Brattleboro
Galyani Vadhana,spouse,Aram Rattanakul Serireongrit
Xavi,object has role,name
Nakazakichō Station,operator,Osaka Metro
Lucian Sănmărtean,sibling,Dinu Sânmărtean
Krypton,present in work,Superman
Stanford University,official color(s),red
Butterfly,tracklist,Honey
Milestones,main subject,Islamic thought
The Lieutenant,cast member,Gary Lockwood
NK Lošinj,country,Croatia
Starship,author,SpaceX
John Mayer,unmarried partner,Jennifer Aniston
Šefik Džaferović,replaces,Željko Komšić
2021 Japanese general election,endorsed by,Reiwa Shinsengumi
Guillermo Roux,award received,Illustrious Citizen of Buenos Aires
Melissa J. Moore,educated at,Massachusetts Institute of Technology
Theuns Jordaan,cause of death,leukemia
Virgil Abloh,employer,Off-White
Romantic music,part of,Romanticism
Jack Whiting,place of birth,Philadelphia
All Saints' Day,subclass of,public holiday
Black-chested Buzzard-Eagle,original combination,Black-and-white Hawk-Eagle
The Man Who Came to Dinner,form of creative work,play
Dan Le Batard Is Highly Questionable,cast member,Bomani Jones
Richard Friberg,of,Stockholm School of Economics
Microsoft Internet Explorer 4,software engine,MSHTML
Anti-Counterfeiting Trade Agreement,signatory,Morocco
Ōmi-Miyagawa Domain,located in the administrative territorial entity,Ōmi Province
West Wales Raiders,league,League 1
Arthur Rinderknech,participant in,Davis Cup
USS LST-179,conflict,World War II
Starship,owned by,SpaceX
Manolis Hatzidakis,genre,Greek art
Harlan Hoge Ballard,place of death,Pittsfield
Loo,author,Nayan Raj Pandey
Chen Delin,instrument,voice
machine-readable travel document,uses,OCR-B
Star Fox 64,narrative location,Venom
Slide Hampton,given name,Wellington
Gil Braltar,form of creative work,short story
Naruto,characters,Obito Uchiha
play,said to be the same as,theatre
China Railways TSD09,subclass of,diesel multiple unit
non-fungible token,of,ownership
AIDES,language of work or name,French
Catherine Cortez Masto,residence,Las Vegas
Old Yue,subclass of,Kra–Dai
historiography,studies,recorded history
Liudmila Samsonova,participant in,2020–21 Billie Jean King Cup
Sven-Åke Jansson,military branch,Swedish Army
Le Mariage de mademoiselle Beulemans,form of creative work,play
jury trial,opposite of,bench trial
Narayan Shyam,occupation,poet
Colin Powell,place of burial,Washington National Cathedral
Féfé,given name,Samuël
Association for Educational Communications and Technology,applies to jurisdiction,Indiana
1973 Fidelity Tournament,surface played on,carpet court
High Court of Justiciary,work location,Scotland
Melissa J. Moore,academic major,biology
Does a Tiger Wear a Necktie?,form of creative work,play
Jessica Yu,work location,Los Angeles
Eternals,voice actor,David Kaye
Guijiahu Reservoir,located in the administrative territorial entity,Guizhou
A Yorkshire Tragedy,form of creative work,play
Upper Silesia,language used,Silesian
Ruddy Turnstone,original combination,Tringa interpres
Organization of the Petroleum Exporting Countries,member of,United Arab Emirates
Gennadi Muravin,educated at,Estonian Academy of Arts
Bruno Mignot,languages spoken written or signed,French
87 Clockers,published in,Weekly Young Jump
Mikami Domain,located in the administrative territorial entity,Ōmi Province
The Simpsons Movie,characters,Chief Wiggum
Jeanie Oliver Davidson Smith,place of death,Johnstown
Tom Ah Chee,place of death,Auckland
Nikita Ramic,languages spoken written or signed,French
Aseprite,use,pixel art
Naruto,characters,Haku
Delta Omega,instance of,honor society
Shang-Chi and the Legend of the Ten Rings,narrative location,Macau
Aeromot AMT-300 Turbo Ximango Shark,country,Brazil
Ohio,direction relative to location,north
Beatrice Scalvedi,sport,alpine skiing
Nikki Bella,child,1
Antonio and Mellida,author,John Marston
El y Ella,author,Miguel Mihura
Bellingham,applies to part,land
Lou Cutell,place of death,Los Angeles
Zapyrastra calliphana,taxon range,New Zealand
Dokkiri Doctor,published in,Weekly Shōnen Sunday
Konstantin Kalser,languages spoken written or signed,German
Jaan Lippmaa,occupation,politician
Igor Denisov,place of death,Soviet Union
Rahbani brothers,has part,Mansour Rahbani
Italian diaspora,subclass of,Italians
Amelia Tonon,place of birth,Trieste
Zohrabbayovs' house,located in the administrative territorial entity,Shusha
Pamela Snow,academic degree,graduate certificate
Eddard Stark,given name,Ned
Malika-i-Jahan,child,Hazrat Begum
Kindred of the East,designed by,Robert Hatch
Zuhair Ramadan,member of,Syrian Artists Syndicate
Jeanette,object has role,stage name
Dianna Agron,unmarried partner,Alex Pettyfer
Hierodoris callispora,type locality (biology),Wellington
Primaggio Mantovi,place of birth,San Vito dei Normanni
Laabam,instance of,film
Eliot Engel,academic major,guidance and counseling
Koray Çalışkan,editor,Journal of Cultural Economy
Carl Elliott,award received,Guggenheim Fellowship
Ohio,direction relative to location,east
The Camp by Griselda Gambaro,form of creative work,play
George J. Walker,place of death,Niceville
Pasteur Institute,chief executive officer,Stewart Cole
Mark Kelly,residence,Tucson
Koray Çalışkan,country of citizenship,Turkey
Alex Chigogidze,place of birth,Tbilisi
Superman logo,applies to part,background
Liberation Monument,applies to part,back
Hierodoris stellata,type locality (biology),Te Waewae Bay
Édgar Negret,collection creator,Museum of Modern Art
The Last Duel,inferred from,Jean de Carrouges
Nathan Peabody Ames,occupation,entrepreneur
Hugh J. Glenn,spouse,Nancy Harrison Abernathy
Ampanavoana,country,Madagascar
Francis Wang Xue-ming,position held,archbishop
Facade of Former Town HallHigh Street,location,Holywell
Freetown,head of government,Yvonne Aki-Sawyerr
Wenceslao Alpuche,place of birth,Tihosuco
Maggie Hassan,intended public,New Hampshire
Samuel Levi Jones,educated at,Taylor University
The Green Meadow,form of creative work,short story
Gennadi Muravin,languages spoken written or signed,Finnish
JPMorgan Chase,board member,Jamie Dimon
Wolfgang Pfeifer,languages spoken written or signed,German
Federico Granja Ricalde,located in the administrative territorial entity,Yucatán
Nicky Butt,object has role,name
Ethereum,headquarters location,Switzerland
Dhanteras,day in year for periodic occurrence,Krishna
The Little Prince,intended public,youth
JPMorgan Chase,determination method,addition
Metroid Dread,statement is subject of,The Game Awards 2021
Starship,follows,Falcon 9
Istanbul Tram,replaces,Trams in Istanbul
Toulouse Olympique,member of,Rugby Football League
fusion power,uses,fusion reactor
Albert David Hager,place of death,Illinois
L'Wren Scott,object has role,name
Journey's End,form of creative work,play
Elise Bartlett,writing language,Spanish
L'Wren Scott,given name,Laura
Libby Liggins,award received,Rutherford Discovery Fellowship
Oliver Kostić,country of citizenship,Serbia
Warren Worthington III,enemy of,Apocalypse
Take On Me,identity of object in context,A-ha
1999 Liberal Democrats leadership election,candidate,Simon Hughes
Psylocke,enemy of,Spiral
Society of Jesus,has parts of the class,jesuit province
Castiarina simulata,taxon author,Hippolyte Louis Gory
Antony and Cleopatra,form of creative work,play
Cedric Robinson,place of birth,Flookburgh
Michael Bennet,intended public,Colorado
Hugo Boisvert,languages spoken written or signed,German
Young Dolph,given name,Rob
Organization of the Petroleum Exporting Countries,member of,Iraq
Maxfield Parrish,student of,Howard Pyle
Akothee,country of citizenship,Kenya
The Malcontent,form of creative work,play
Johnny Mnemonic,form of creative work,short story
Marie-Claude Tjibaou,languages spoken written or signed,French
Monsoon,EIRIN film rating,G
Mohammadhossein Askari Mohammadian,country for sport,Iran
The Gruen Transfer,cast member,Russel Howcroft
Kateryna Kryva,participant in,2021 European Karate Championships
LaTocha Scott,member of,Xscape
Aqua-Aston Hospitality,headquarters location,Hawaii
Fourier transform,symbol represents,function
Jean-Pierre Schumacher,languages spoken written or signed,French
James Rodríguez,award received,FIFA Puskás Award
Alessandra Iozzi,country of citizenship,Switzerland
Lend Me a Tenor,form of creative work,play
Šefik Džaferović,replaces,Bakir Izetbegović
Abdul Wahab Dalimunthe,legislative body,People's Representative Council
Pim Fortuyn List,separated from,Livable Netherlands
Maxie McFarland,academic major,psychology
Maxie McFarland,academic major,policy
Iain Rankin,replaces,Tim Houston
chigiriki,country of origin,Japan
Dish of the Day,tracklist,Lemon Tree
Fajar Setya Jaya,languages spoken written or signed,Indonesian
Dunlin,original combination,Tringa alpina
The Enormous Crocodile,intended public,child
Kyoko Mizuki,notable work,Candy Candy
Kōji Kakinuma,country of citizenship,Japan
Prichal,docking port,Nauka
Starship,applies to part,Super Heavy
Jacqueline E. Schafer,place of birth,Greenport
Ağbulaq necropolis,located in the administrative territorial entity,Shahbuz District
Stop Kiss,form of creative work,play
Katsuga Castle,country,Japan
Young Dolph,residence,Memphis
Kohori Kofun Cluster,located in the administrative territorial entity,Nagahama
Kitty Ponse,place of death,Geneva
Laura Ricciardi,academic major,government
Ed Asner,place of burial,Kansas City
Dragon 2,depicts,Cargo Dragon
Triangle,location,Paris
Ezekiel,country of citizenship,Judah
Man from the South,form of creative work,short story
X-23,enemy of,Kimura
Captain Logan,occupation,warrior
Constellations,form of creative work,play
Roman Abramovich,country,Israel
James Earl Rudder,academic major,industrial education
Touhou Gouyoku Ibun,part of the series,Touhou Project
Raoul Meyer,languages spoken written or signed,French
Bogdan Doroftei,sport,rugby
Albatros L 56,instance of,aircraft
Steuben House,part of,Steuben Estate Complex
Mourning Becomes Electra,form of creative work,play
William S. Haggard,place of burial,Lafayette
partition of India,country,British India
Tudor Butnariu,sport,rugby
Frances Boardman Squire Potter,place of birth,Elmira
Ontario Highway 417,direction,west
Sitelink,subclass of,hyperlink
Mərdangöl necropolis,country,Azerbaijan
Dəmirli necropolis,country,Azerbaijan
Hamdi Hassan,member of political party,Muslim Brotherhood in Egypt
Operation Tupac,country,Pakistan
Erinna Lee,field of work,autophagy
Scooby-Doo! and the Goblin King,voice actor,Tim Curry
Alive!,has quality,double album
Sciences Po,director / manager,Mathias Vicherat
Malo,sourcing circumstances,near
Ainhoa Santamaría Ballesteros,language of work or name,Spanish
Kamen Rider,character role,Hayato Ichimonji
British Institute for the Study of Iraq,named after,Gertrude Bell
Johan Rooryck,editor,Glossa
Warren Worthington III,enemy of,Cameron Hodge
Aviv Alush,kinship to subject,sister
Giorgio Mondino,native language,Italian
Hierodoris s-fractum,type locality (biology),West Melton
Jamule,family name,Serrano
Francis Wang Xue-ming,replaces,Louis Morel
Kazuo Yagi,collection creator,Museum of Modern Art
Intuit,owner of,QuickBooks
Verkhovna Rada,of,Ukraine
throat singing,different from,overtone singing
Wolverine,enemy of,Romulus
Alison Phipps,field of work,sociology
Ezekiel,ethnic group,Jewish
Starship,crew member(s),Yusaku Maezawa
U.S. Route 27,direction,north
set,symbol represents,is an element of
William Stebbins Barnard,place of death,Des Moines
Kamen Rider Agito,media franchise,Kamen Rider Series
auditory hallucination,has cause,schizophrenia
Vasanavikriti,form of creative work,short story
Out of the Aeons,form of creative work,short story
Emilia Schneider,member of political party,Commons
The Sitcom Trials,cast member,Wanda Opalinska
Measure for Measure,form of creative work,play
Hierodoris pachystegiae,type locality (biology),Kaikōura
Truman W. Brophy,place of birth,Will County
Hans Herrmann,student of,Karl Gussow
Shakhram Akhadov,sport,judo
The Day Before You Came,composer,Björn Ulvaeus
Halloween Kills,RTC film rating,C
Norodom Ranariddh,place of death,Paris
Doudleby Ark,location,Aleš South Bohemian Gallery
Toyota Vitz,language of work or name,Japanese
European Digital Rights,chairperson,Anna Fielder
Lia McHugh,located in the administrative territorial entity,Pennsylvania
Saint Catherine,main subject,Catherine of Alexandria
Touhou Gouyoku Ibun,developer,Team Shanghai Alice
Martina Clavadetscher,nominated for,Swiss Book Prize
Melissa J. Moore,academic degree,Bachelor of Science
Maxie McFarland,academic major,business
Mike Pudlick,sport,ice hockey
women's shelter,different from,domestic violence shelter
Gedeone Malagola,place of death,Jundiaí
Sagwa the Chinese Siamese Cat,voice actor,Arthur Holden
Pamela Snow,employer,La Trobe University
Walid Badir,country for sport,Israel
Peter V. Deuster,member of,Wisconsin State Assembly
Dorothy Harriette Dunckley,occupation,writer
Pamela Snow,academic major,higher education
Lady Isobel Gathorne-Hardy,sibling,Frederick Stanley
William Muir Urquhart,place of death,Chehalis
history of Bihar,country,India
Vasile Adamescu,occupation,teacher
Jong Batak Bond,country,Dutch East Indies
Manoucher Yektai,collection creator,Museum of Modern Art
Taos Air,instance of,airline
Internet censorship,instance of,control
Maggie Hassan,residence,Newfields
Main Line,direction,west
Idol Producer,winner,Nine Percent
The Baumoff Explosive,author,William Hope Hodgson
FouKi,sex or gender,male
Catherine Tizard,field of work,zoology
Sidney Shachnow,place of burial,Arlington National Cemetery
The Pedestrian,form of creative work,short story
The Curious Incident of the Dog in the Night-Time,form of creative work,play
Monsters Inc.,characters,Mike Wazowski
Naruto,characters,Killer Bee
Naraka Chaturdashi,observed in,India
Tsar Bomba,operator,Soviet Union
Channel Seven Perth Telethon,original broadcaster,Seven Network
Ron Unz,has written for,The American Conservative
The Duke's Tower,location,Inveraray
